inventory_date	id	item	stock	name	type	in_fridge	in_storage	last_entry
02-11-2023	8671045	Menabrea Ambrata	6	Menabrea Ambrata	Beer	1	0	1
02-11-2023	10033	Refsvindinge Ale No.16 33 cl fl incl pant	73	Ale No.16	Beer	1	0	1
02-11-2023	1	Bamboozled Amager Bryghus Dry hopped Hazy ipa	1	Bamboozled	Beer	1	0	1
02-11-2023	2	Dry Lips Kasper	1	Dry Lips	Beer	1	0	1
02-11-2023	1692044	O/O 50/50: Citra/Ekuanot IPA 44cl ds incl pant	1	O/O 50/50 Citra/Ekuanot	Beer	1	0	1
02-11-2023	1690334	O/O Evergreen IPA	2	O/O Evergreen	Beer	1	0	1
02-11-2023	7294018	Baladin Rock n Roll	2	Baladin Rock n Roll	Beer	1	0	1
02-11-2023	7	High Tide India pale ale Port sd Brewery	4	High Tide	Beer	1	0	1
02-11-2023	3	Fanta Exotic	5	Fanta Exotic	Soda	1	0	1
02-11-2023	9	Cocacola Original	11	Cocacola Original	Soda	1	0	1
02-11-2023	1122125	Lindemans Framboise	4	Lindemans Framboise	Beer	1	0	1
02-11-2023	1122025	Lindemans Kriek	3	Lindemans Kriek	Beer	1	0	1
02-11-2023	1700533	O/O Dalen Lager	5	O/O Dalen Lager	Beer	1	0	1
02-11-2023	16421	Brewdog Nanny State AF 33cl ds incl pant	1	Brewdog Nanny State	AF Beer	1	0	1
02-11-2023	4316	Schneider, Mein Alkoholfreies, Alc Free Tap 3, 50 cl, Tyskland, Fl. Incl Pant	1	Schneider Mein Alkoholfreies	AF Beer	1	0	1
02-11-2023	21220	Founders All day IPA	4	Founders All day IPA	Beer	1	0	1
02-11-2023	7689389	Gamma Snake Belly (Schwarze Rose collab) 44cl ds incl pant	3	Gamma Snake Belly	Beer	1	0	1
02-11-2023	7897	Abbeydale Deception 44 cl ds incl pant	5	Abbeydale Deception	Beer	1	0	1
02-11-2023	9992	Hop Gun, Cepheus 5,1%	5	Hop Gun Cepheus	Beer	1	0	1
02-11-2023	207925	Somersby 33 cl fl inc pant Eldenflower	13	Somersby Eldenflower	Cider	1	0	1
02-11-2023	207925	Somersby 33 cl fl inc pant Blackberry	9	Somersby Blackberry	Cider	1	0	1
02-11-2023	1880150	Vinohraka Pils 12	2	Vinohraka	Beer	1	0	1
02-11-2023	11	Carlsberg noridc pilsner AF	1	Carlsberg AF	AF Beer	1	0	1
02-11-2023	1184133	Mc Chouffe	1	Mc Chouffe	Beer	1	0	1
02-11-2023	31000022	Ørbæk Fynsk Forar	2	Ørbæk Fynsk Forar	Beer	1	0	1
02-11-2023	31000023	Ørbæk IPA 5%	2	Ørbæk IPA	Beer	1	0	1
02-11-2023	1072233	Westmalle Extra 4,8%	4	Westmalle Extra	Beer	1	0	1
02-11-2023	1190033	Brunehaut Blond Gluten Free	6	Brunehaut Blond	Beer	1	0	1
02-11-2023	1150033	Karmeliet Tripel 33 cl	1	Karmeliet Tripel	Beer	1	0	1
02-11-2023	90817	Menabrea Rossa	1	Menabrea Rossa	Beer	1	0	1
02-11-2023	401	Konig Ludwig Weiss Hell	2	Konig Ludwig	Beer	1	0	1
